シェル,画面,ボタン名称,背景色,文字色,枠色
共通,ログイン,ログイン,#1a365d,#ffffff,#1a365d
HIA総合管理,[緑] 健康保険組合請求管理,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 健康保険組合請求管理,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合請求管理,CSV,#e0f2fe,#0369a1,transparent
HIA総合管理,[緑] 健康保険組合請求管理,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合請求管理,CSV,#e0f2fe,#0369a1,transparent
HIA総合管理,[緑] 健康保険組合請求管理,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合請求管理,CSV,#e0f2fe,#0369a1,transparent
HIA総合管理,[緑] 健康保険組合請求管理,請求確定,#dbeafe,#1e40af,#93c5fd
HIA総合管理,[緑] 健康保険組合請求管理,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合請求管理,CSV,#e0f2fe,#0369a1,transparent
HIA総合管理,[緑] 健康保険組合請求管理,請求確定,#dbeafe,#1e40af,#93c5fd
HIA総合管理,[緑] 健康保険組合請求管理,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合請求管理,CSV,#e0f2fe,#0369a1,transparent
HIA総合管理,[緑] 健康保険組合請求管理,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合請求管理,CSV,#e0f2fe,#0369a1,transparent
HIA総合管理,[緑] 健康保険組合請求管理,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合請求管理,CSV,#e0f2fe,#0369a1,transparent
HIA総合管理,[緑] 医療機関請求一覧,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 医療機関請求一覧,新規作成,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 医療機関請求一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関請求一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 医療機関請求一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関請求一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 医療機関請求一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関請求一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 医療機関請求一覧,仮確定,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 医療機関請求一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関請求一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 医療機関請求一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関請求一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 受診者一覧,新規作成,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 受診者一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 受診者一覧,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 健康保険組合入金状況,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 健康保険組合入金状況,ダウンロード,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合入金状況,未入金,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 健康保険組合入金状況,入金日確認,#f3f4f6,#6b7280,transparent
HIA総合管理,[緑] 健康保険組合入金状況,入金日確認,#f3f4f6,#6b7280,transparent
HIA総合管理,[緑] 健康保険組合入金状況,未入金,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 健康保険組合入金状況,入金日確認,#e8f0fb,#2563b0,transparent
HIA総合管理,[緑] 医療機関手数料設定,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 医療機関手数料設定,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関手数料設定,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関手数料設定,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関手数料設定,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関手数料設定,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合一覧,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 健康保険組合一覧,新規作成,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 健康保険組合一覧,サポートログイン,#2f4f4f,#ffffff,transparent
HIA総合管理,[緑] 健康保険組合一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合一覧,サポートログイン,#2f4f4f,#ffffff,transparent
HIA総合管理,[緑] 健康保険組合一覧,編集,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 健康保険組合編集,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 健康保険組合編集,基本設定,#ffffff,#2f4f4f,#e8edf2
HIA総合管理,[緑] 健康保険組合編集,健診代行設定,#ffffff,#888888,#e8edf2
HIA総合管理,[緑] 健康保険組合編集,保健指導設定,#ffffff,#888888,#e8edf2
HIA総合管理,[緑] 健康保険組合編集,インフル設定,#ffffff,#888888,#e8edf2
HIA総合管理,[緑] 健康保険組合編集,認証方式A,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 健康保険組合編集,認証方式B,#ffffff,#555555,#e5e7eb
HIA総合管理,[緑] 健康保険組合編集,項目追加,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 健康保険組合編集,削除,#ffffff,#e53e3e,#fed7d7
HIA総合管理,[緑] 健康保険組合編集,項目追加,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 健康保険組合編集,暗号化のみ,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 健康保険組合編集,匿名化のみ,#ffffff,#555555,#e5e7eb
