代表コード,検査項目名,判定区分,性別,下限値,上限値,並び
9N011000000000001,BMI,B,共通,,18.4,10
9N011000000000001,BMI,A,共通,18.5,24.9,20
9N011000000000001,BMI,B,共通,25.0,,30
9N016160100000001,腹囲(実測),A,男性,,84.9,10
9N016160100000001,腹囲(実測),D,男性,85.0,,20
9N016160100000001,腹囲(実測),A,女性,,89.9,30
9N016160100000001,腹囲(実測),D,女性,90.0,,40
9A755000000000001,収縮期血圧(その他),A,共通,,129,10
9A755000000000001,収縮期血圧(その他),B,共通,130,139,20
9A755000000000001,収縮期血圧(その他),C,共通,140,159,30
9A755000000000001,収縮期血圧(その他),D,共通,160,,40
9A765000000000001,拡張期血圧(その他),A,共通,,84,10
9A765000000000001,拡張期血圧(その他),B,共通,85,89,20
9A765000000000001,拡張期血圧(その他),C,共通,90,99,30
9A765000000000001,拡張期血圧(その他),D,共通,100,,40
3F015000002327101,空腹時中性脂肪(トリグリセリド),D,共通,,29,10
3F015000002327101,空腹時中性脂肪(トリグリセリド),A,共通,30,149,20
3F015000002327101,空腹時中性脂肪(トリグリセリド),B,共通,150,299,30
3F015000002327101,空腹時中性脂肪(トリグリセリド),C,共通,300,499,40
3F015000002327101,空腹時中性脂肪(トリグリセリド),D,共通,500,,50
3F070000002327101,HDLコレステロール,D,共通,,29,10
3F070000002327101,HDLコレステロール,B,共通,30,39,20
3F070000002327101,HDLコレステロール,A,共通,40,,30
3F077000002327101,LDLコレステロール,D,共通,,59,10
3F077000002327101,LDLコレステロール,A,共通,60,119,20
3F077000002327101,LDLコレステロール,B,共通,120,139,30
3F077000002327101,LDLコレステロール,C,共通,140,179,40
3F077000002327101,LDLコレステロール,D,共通,180,,50
3F069000002391901,Non-HDLコレステロール,D,共通,,89,10
3F069000002391901,Non-HDLコレステロール,A,共通,90,149,20
3F069000002391901,Non-HDLコレステロール,B,共通,150,169,30
3F069000002391901,Non-HDLコレステロール,C,共通,170,209,40
3F069000002391901,Non-HDLコレステロール,D,共通,210,,50
3B035000002327201,AST(GOT),A,共通,,30,10
3B035000002327201,AST(GOT),B,共通,31,35,20
3B035000002327201,AST(GOT),C,共通,36,50,30
3B035000002327201,AST(GOT),D,共通,51,,40
3B045000002327201,ALT(GPT),A,共通,,30,10
3B045000002327201,ALT(GPT),B,共通,31,40,20
3B045000002327201,ALT(GPT),C,共通,41,50,30
3B045000002327201,ALT(GPT),D,共通,51,,40
3B090000002327101,γ-GT(γ-GTP),A,共通,,50,10
3B090000002327101,γ-GT(γ-GTP),B,共通,51,80,20
3B090000002327101,γ-GT(γ-GTP),C,共通,81,100,30
3B090000002327101,γ-GT(γ-GTP),D,共通,101,,40
3D010000001926101,空腹時血糖,D,共通,,69,10
3D010000001926101,空腹時血糖,A,共通,70,99,20
3D010000001926101,空腹時血糖,B,共通,100,109,30
3D010000001926101,空腹時血糖,C,共通,110,125,40
3D010000001926101,空腹時血糖,D,共通,126,,50
3D046000001920402,HbA1c(NGSP値),A,共通,,5.5,10
3D046000001920402,HbA1c(NGSP値),B,共通,5.6,5.9,20
3D046000001920402,HbA1c(NGSP値),C,共通,6.0,6.4,30
3D046000001920402,HbA1c(NGSP値),D,共通,6.5,,40
8A065000002391901,eGFR,D,共通,,44.9,10
8A065000002391901,eGFR,B,共通,45.0,59.9,20
8A065000002391901,eGFR,A,共通,60.0,,30
3C015000002327101,血清クレアチニン,A,男性,,1.00,10
3C015000002327101,血清クレアチニン,B,男性,1.01,1.09,20
3C015000002327101,血清クレアチニン,C,男性,1.10,1.29,30
3C015000002327101,血清クレアチニン,D,男性,1.30,,40
3C015000002327101,血清クレアチニン,A,女性,,0.70,50
3C015000002327101,血清クレアチニン,B,女性,0.71,0.79,60
3C015000002327101,血清クレアチニン,C,女性,0.80,0.99,70
3C015000002327101,血清クレアチニン,D,女性,1.00,,80
3C020000002327101,血清尿酸,C,共通,,2.0,10
3C020000002327101,血清尿酸,A,共通,2.1,7.0,20
3C020000002327101,血清尿酸,B,共通,7.1,7.9,30
3C020000002327101,血清尿酸,C,共通,8.0,8.9,40
3C020000002327101,血清尿酸,D,共通,9.0,,50
2A010000001930101,白血球数,D,共通,,3000,10
2A010000001930101,白血球数,A,共通,3100,8400,20
2A010000001930101,白血球数,B,共通,8500,8900,30
2A010000001930101,白血球数,C,共通,9000,9900,40
2A010000001930101,白血球数,D,共通,10000,,50
2A030000001930101,血色素量(ヘモグロビン値),D,男性,,12.0,10
2A030000001930101,血色素量(ヘモグロビン値),C,男性,12.1,13.0,20
2A030000001930101,血色素量(ヘモグロビン値),A,男性,13.1,16.3,30
2A030000001930101,血色素量(ヘモグロビン値),B,男性,16.4,18.0,40
2A030000001930101,血色素量(ヘモグロビン値),D,男性,18.1,,50
2A030000001930101,血色素量(ヘモグロビン値),D,女性,,11.0,60
2A030000001930101,血色素量(ヘモグロビン値),C,女性,11.1,12.0,70
2A030000001930101,血色素量(ヘモグロビン値),A,女性,12.1,14.5,80
2A030000001930101,血色素量(ヘモグロビン値),B,女性,14.6,16.0,90
2A030000001930101,血色素量(ヘモグロビン値),D,女性,16.1,,100
1A010000000191111,尿蛋白,A,共通,1,1,10
1A010000000191111,尿蛋白,B,共通,2,2,20
1A010000000191111,尿蛋白,C,共通,3,3,30
1A010000000191111,尿蛋白,D,共通,4,,40
1A020000000191111,尿糖,A,共通,1,1,10
1A020000000191111,尿糖,B,共通,2,,20
