区分番号,代表コード,検査項目名,XMLデータ型,単位,必須
02,9N051000000000049,業務歴,ST,,
02,9N056000000000011,既往歴,CD,,1
02,9N056160400000049,具体的な既往歴,ST,,1
02,9N061000000000011,自覚症状,CD,,1
02,9N061160800000049,自覚症状(所見),ST,,1
02,9N066000000000011,他覚症状,CD,,1
02,9N066160800000049,他覚症状(所見),ST,,1
02,9N071000000000049,その他(家族歴等),ST,,
02,9N076000000000049,視診(口腔内含む),ST,,
02,9N081000000000049,打聴診,ST,,
02,9N086000000000049,触診(関節可動域含む),ST,,
02,9N091000000000001,反復唾液嚥下テスト,PQ,回,
02,9N276160800000049,乳房視触診(所見),ST,,
02,9N291160800000049,子宮頚部視診(所見),ST,,
02,9N716000000000011,既往歴1(脳血管),CD,,
02,9N721000000000011,既往歴2(心血管),CD,,
03,9N001000000000001,身長,PQ,cm,1
03,9N006000000000001,体重,PQ,kg,1
03,9N011000000000001,BMI,PQ,kg/m²,1
03,9N016160100000001,腹囲(実測),PQ,cm,
03,9N016160200000001,腹囲(自己判定),PQ,cm,
03,9N016160300000001,腹囲(自己申告),PQ,cm,
03,9N021000000000001,内臓脂肪面積,PQ,cm²,
03,9N026000000000002,肥満度,PQ,%,
03,9N741000000000011,20歳からの体重変化,CD,,
04,9A751000000000001,収縮期血圧(1回目),PQ,mmHg,
04,9A752000000000001,収縮期血圧(2回目),PQ,mmHg,
04,9A755000000000001,収縮期血圧(その他),PQ,mmHg,
04,9A761000000000001,拡張期血圧(1回目),PQ,mmHg,
04,9A762000000000001,拡張期血圧(2回目),PQ,mmHg,
04,9A765000000000001,拡張期血圧(その他),PQ,mmHg,
04,9N121000000000001,心拍数,PQ,拍/分,
04,9N701000000000011,服薬1(血圧),CD,,1
04,9N701167000000049,服薬1(血圧)(薬剤名),ST,,
04,9N701167100000049,服薬1(血圧)(服薬理由),ST,,
04,9N702167200000049,保険者再確認 服薬1(血圧),CD,,
05,3F015000002327101,空腹時中性脂肪(トリグリセリド),PQ,mg/dL,
05,3F015129902327101,随時中性脂肪(トリグリセリド),PQ,mg/dL,
05,3F050000002327101,総コレステロール,PQ,mg/dL,
05,3F069000002391901,Non-HDLコレステロール,PQ,mg/dL,
05,3F070000002327101,HDLコレステロール,PQ,mg/dL,
05,3F077000002327101,LDLコレステロール,PQ,mg/dL,
05,9N711000000000011,服薬3(脂質),CD,,1
05,9N711167000000049,服薬3(脂質)(薬剤名),ST,,
05,9N711167100000049,服薬3(脂質)(服薬理由),ST,,
05,9N712167200000049,保険者再確認 服薬3(脂質),CD,,
06,3A010000002327101,総蛋白,PQ,g/dL,
06,3A015000000106101,尿中アルブミン定量,PQ,mg/L,
06,3A015000000106128,尿中アルブミンクレアチニン補正値,PQ,mg/g･CR,
06,3A015000000406126,尿中アルブミン一日量,PQ,mg/day,
06,3A015000002327101,アルブミン,PQ,g/dL,
06,3B035000002327201,AST(GOT),PQ,U/L,
06,3B045000002327201,ALT(GPT),PQ,U/L,
06,3B050000002327201,LD,PQ,U/L,
06,3B070000002327101,ALP,PQ,U/L,
06,3B090000002327101,γ-GT(γ-GTP),PQ,U/L,
06,3J010000002327101,総ビリルビン,PQ,mg/dL,
06,9N401000000000011,C型肝炎ウイルス検診の判定,CD,,
07,3D010000001926101,空腹時血糖,PQ,mg/dL,
07,3D010129901926101,随時血糖,PQ,mg/dL,
07,3D046000001920402,HbA1c(NGSP値),PQ,%,
07,9N141000000000011,採血時間(食後),CD,,1
07,9N706000000000011,服薬2(血糖),CD,,1
07,9N706167000000049,服薬2(血糖)(薬剤名),ST,,
07,9N706167100000049,服薬2(血糖)(服薬理由),ST,,
07,9N707167200000049,保険者再確認 服薬2(血糖),CD,,
08,1A010000000191111,尿蛋白,CO,,
08,1A020000000191111,尿糖,CO,,
08,1A030000000190301,尿比重,PQ,,
08,1A100000000191111,尿潜血,CO,,
08,1A105160700166211,尿沈渣(所見の有無),CD,,
08,1A105160800166249,尿沈渣(所見),ST,,
08,3C015000002327101,血清クレアチニン,PQ,mg/dL,
08,3C015161002399949,血清クレアチニン(実施理由),ST,,
08,3C015161602399911,血清クレアチニン(対象者),CD,,
08,3C020000002327101,血清尿酸,PQ,mg/dL,
08,8A065000002391901,eGFR,PQ,ml/min/1.73m²,
08,9N726000000000011,既往歴3(腎不全・人工透析),CD,,
09,2A010000001930101,白血球数,PQ,/mm³,
09,2A020000001930101,赤血球数,PQ,万/mm³,
09,2A030000001930101,血色素量(ヘモグロビン値),PQ,g/dL,
09,2A040000001930102,ヘマトクリット値,PQ,%,
09,2A050000001930101,血小板数,PQ,万/mm³,
09,2A060000001930101,MCV,PQ,fl,
09,2A070000001930101,MCH,PQ,pg,
09,2A080000001930101,MCHC,PQ,%,
09,5H010000001910111,血液型(ABO),CD,,
09,5H020000001910111,血液型(Rh),CD,,
10,9A110160700000011,心電図(所見の有無),CD,,
10,9A110160800000049,心電図(所見),ST,,
10,9A110161000000049,心電図(実施理由),ST,,
10,9A110161600000011,心電図(対象者),CD,,
11,9E100160900000049,眼底検査(その他の所見),ST,,
11,9E100161000000049,眼底検査(実施理由),ST,,
11,9E100161600000011,眼底検査(対象者),CD,,
11,9E100166000000011,眼底検査(キースワグナー分類),CO,,
11,9E100166100000011,眼底検査(シェイエ分類:H),CO,,
11,9E100166200000011,眼底検査(シェイエ分類:S),CO,,
11,9E100166300000011,眼底検査(SCOTT分類),CO,,
11,9E100166500000011,眼底検査(改変Davis分類),CO,,
11,9E100166600000011,眼底検査(Wong-Mitchell分類),CO,,
12,1B030000001599811,便潜血,CD,,
12,2A020161001930149,貧血検査(実施理由),ST,,
12,3A016000002327102,A/G,PQ,,
12,3B339000002399811,ペプシノゲン,CD,,
12,5C070000002306201,CRP,PQ,mg/dL,
12,5C095000002302301,血清フェリチン,PQ,ng/mL,
12,5D305000002399811,PSA(前立腺特異抗原),CD,,
12,5E071000002399811,梅毒反応,CD,,
12,5F016141002399811,HBs抗原,CD,,
12,5F360145002399811,HCV核酸増幅検査,CD,,
12,5F360149502399811,HCV抗体,CD,,
12,5F360149702399811,HCV抗体(力価),CO,,
12,5F360150002399811,HCV抗原検査,CD,,
12,6A010160806170449,喀痰検査(塗抹鏡検 一般細菌)(所見),ST,,
12,6A205000006171711,喀痰検査(塗抹鏡検 抗酸菌),CO,,
12,6A205165606171711,喀痰検査(ガフキー号数),CO,,
12,7A010000006143311,喀痰細胞診検査,CO,,
12,7A021165008543311,子宮頸部細胞診(日母分類),CO,,
12,7A021165208543311,子宮頸部細胞診(ベセスダシステム2001),CD,,
12,7A022000008543311,子宮体部細胞診,CD,,
12,9C310000000000001,肺機能検査(努力肺活量),PQ,L,
12,9C320000000000001,肺機能検査(1秒量),PQ,L,
12,9C330000000000002,肺機能検査(1秒率),PQ,%,
12,9C380000000000002,肺機能検査(%VC),PQ,%,
12,9D100160900000049,聴力(その他の所見),ST,,
12,9D100163100000011,聴力(右:1000Hz),CD,,
12,9D100163200000011,聴力(右:4000Hz),CD,,
12,9D100163500000011,聴力(左:1000Hz),CD,,
12,9D100163600000011,聴力(左:4000Hz),CD,,
12,9D100164000000011,聴力(検査方法),CD,,
12,9E105162100000001,眼圧検査(右),PQ,mmHg,
12,9E105162200000001,眼圧検査(左),PQ,mmHg,
12,9E160162100000001,視力(右),PQ,,
12,9E160162200000001,視力(左),PQ,,
12,9E160162500000001,視力(右:矯正),PQ,,
12,9E160162600000001,視力(左:矯正),PQ,,
12,9F130160800000049,腹部超音波(所見),ST,,
12,9F140160800000049,乳房超音波検査(所見),ST,,
12,9N201000000000011,胸部X線検査(がん:直接撮影),CO,,
12,9N206160800000049,胸部X線検査(一般:直接撮影)(所見),ST,,
12,9N211161100000049,胸部X線検査(直接撮影)(撮影年月日),ST,,
12,9N211161200000049,胸部X線検査(直接撮影)(フィルム番号),ST,,
12,9N216000000000011,胸部X線検査(がん:間接撮影),CO,,
12,9N221160800000049,胸部X線検査(一般:間接撮影)(所見),ST,,
12,9N226161100000049,胸部X線検査(間接撮影)(撮影年月日),ST,,
12,9N226161200000049,胸部X線検査(間接撮影)(フィルム番号),ST,,
12,9N251000000000011,胸部CT検査(がん),CO,,
12,9N251160800000049,胸部CT検査(所見),ST,,
12,9N251161100000049,胸部CT検査(撮影年月日),ST,,
12,9N251161200000049,胸部CT検査(フィルム番号),ST,,
12,9N256160800000049,上部消化管X線(直接撮影)(所見),ST,,
12,9N256161100000049,上部消化管X線(直接撮影)(撮影年月日),ST,,
12,9N256161200000049,上部消化管X線(直接撮影)(フィルム番号),ST,,
12,9N261160800000049,上部消化管X線(間接撮影)(所見),ST,,
12,9N261161100000049,上部消化管X線(間接撮影)(撮影年月日),ST,,
12,9N261161200000049,上部消化管X線(間接撮影)(フィルム番号),ST,,
12,9N266160800000049,上部消化管内視鏡検査(所見),ST,,
12,9N271160800000049,婦人科診察(所見),ST,,
12,9N281160800000049,乳房画像診断(マンモグラフィー)(所見),ST,,
12,9N296160800000049,子宮内診(所見),ST,,
12,9N406000000000049,その他の法定特殊健康診断,ST,,
12,9N411000000000049,その他の法定検査,ST,,
12,9N416000000000049,その他の検査,ST,,
12,9N512000000000011,検査未実施の理由,CD,,
12,9N516000000000049,健康診断を実施した医師の氏名,ST,,
12,9N521000000000049,医師の意見,ST,,
12,9N526000000000049,意見を述べた医師の氏名,ST,,
12,9N531000000000049,歯科医師による健康診断,ST,,
12,9N536000000000049,健康診断を実施した歯科医師の氏名,ST,,
12,9N541000000000049,歯科医師の意見,ST,,
12,9N546000000000049,意見を述べた歯科医師の氏名,ST,,
12,9N551000000000049,備考,ST,,
12,9N556000000000011,生活機能評価の結果1,CD,,
12,9N561000000000011,生活機能評価の結果2,CD,,
12,9N566000000000049,生活機能評価の結果3,ST,,
12,9N576000000000049,診断をした医師の氏名(生活機能評価),ST,,
12,9N586000000000049,診断をした医師の氏名(肺がん検診),ST,,
12,9N596000000000049,診断をした医師の氏名(胃がん検診),ST,,
12,9N606000000000049,診断をした医師の氏名(乳がん検診),ST,,
12,9N616000000000049,診断をした医師の氏名(子宮がん検診),ST,,
12,9N626000000000049,診断をした医師の氏名(大腸がん検診),ST,,
12,9N636000000000049,診断をした医師の氏名(前立腺がん検診),ST,,
12,9N646000000000049,診断をした医師の氏名(その他),ST,,
12,9N731000000000011,貧血,CD,,
12,9N751000000000011,歩行又は身体活動,CD,,
12,9N756000000000011,歩行速度,CD,,
12,9N766000000000011,食べ方1(早食い等),CD,,
12,9N771000000000011,食べ方2(就寝前),CD,,
12,9N782000000000011,食べ方3(間食),CD,,
12,9N807000000000011,初回面接実施,CD,,
12,9N872000000000011,咀嚼,CD,,
12,9N932000000000011,現在の健康状態(後期),CD,,
12,9N933000000000011,毎日の生活に満足(後期),CD,,
12,9N934000000000011,1日3食(後期),CD,,
12,9N935000000000011,半年前比較で固いもの(後期),CD,,
12,9N936000000000011,お茶や汁物むせ(後期),CD,,
12,9N937000000000011,6カ月で2-3kg減(後期),CD,,
12,9N938000000000011,以前比較歩行速度(後期),CD,,
12,9N939000000000011,1年間転倒(後期),CD,,
12,9N941000000000011,物忘れ指摘(後期),CD,,
12,9N942000000000011,今日の日付不明(後期),CD,,
12,9N944000000000011,週1以上外出(後期),CD,,
12,9N945000000000011,家族友人付き合い(後期),CD,,
12,9N946000000000011,身近に相談できる人(後期),CD,,
12,9N950000000000011,情報提供の方法,CD,,
12,9Z770160800000049,直腸肛門機能(1項目)(所見),ST,,
12,9Z771160800000049,直腸肛門機能(2項目以上)(所見),ST,,
13,6A010160706170411,喀痰検査(塗抹鏡検 一般細菌)(所見の有無),CD,,
13,9F130160700000011,腹部超音波(所見の有無),CD,,
13,9F140160700000011,乳房超音波検査(所見の有無),CD,,
13,9N206160700000011,胸部X線検査(一般:直接撮影)(所見の有無),CD,,
13,9N221160700000011,胸部X線検査(一般:間接撮影)(所見の有無),CD,,
13,9N251160700000011,胸部CT検査(所見の有無),CD,,
13,9N256160700000011,上部消化管X線(直接撮影)(所見の有無),CD,,
13,9N261160700000011,上部消化管X線(間接撮影)(所見の有無),CD,,
13,9N266160700000011,上部消化管内視鏡検査(所見の有無),CD,,
13,9N271160700000011,婦人科診察(所見の有無),CD,,
13,9N276160700000011,乳房視触診(所見の有無),CD,,
13,9N281160700000011,乳房画像診断(マンモグラフィー)(所見の有無),CD,,
13,9N291160700000011,子宮頚部視診(所見の有無),CD,,
13,9N296160700000011,子宮内診(所見の有無),CD,,
13,9N511000000000049,医師の診断(判定),ST,,1
13,9N571000000000049,医師の診断(判定)(生活機能評価),ST,,
13,9N581161300000011,医師の診断(肺がん検診)(コード),CD,,
13,9N581161400000049,医師の診断(肺がん検診)(自由記載),ST,,
13,9N591161300000011,医師の診断(胃がん検診)(コード),CD,,
13,9N591161400000049,医師の診断(胃がん検診)(自由記載),ST,,
13,9N601161300000011,医師の診断(乳がん検診)(コード),CD,,
13,9N601161400000049,医師の診断(乳がん検診)(自由記載),ST,,
13,9N611161300000011,医師の診断(子宮がん検診)(コード),CD,,
13,9N611161400000049,医師の診断(子宮がん検診)(自由記載),ST,,
13,9N621161300000011,医師の診断(大腸がん検診)(コード),CD,,
13,9N621161400000049,医師の診断(大腸がん検診)(自由記載),ST,,
13,9N631161300000011,医師の診断(前立腺がん検診)(コード),CD,,
13,9N631161400000049,医師の診断(前立腺がん検診)(自由記載),ST,,
13,9N641000000000049,医師の診断(その他),ST,,
13,9Z770160700000011,直腸肛門機能(1項目)(所見の有無),CD,,
13,9Z771160700000011,直腸肛門機能(2項目以上)(所見の有無),CD,,
14,9N736000000000011,喫煙,CD,,1
14,9N746000000000011,30分以上の運動習慣,CD,,
14,9N781000000000011,食習慣,CD,,
14,9N786000000000011,飲酒,CD,,
14,9N791000000000011,飲酒量,CO,,
14,9N796000000000011,睡眠,CD,,
14,9N801000000000011,生活習慣の改善,CD,,
14,9N811000000000011,生活機能問診1,CD,,
14,9N816000000000011,生活機能問診2,CD,,
14,9N821000000000011,生活機能問診3,CD,,
14,9N826000000000011,生活機能問診4,CD,,
14,9N831000000000011,生活機能問診5,CD,,
14,9N836000000000011,生活機能問診6,CD,,
14,9N841000000000011,生活機能問診7,CD,,
14,9N846000000000011,生活機能問診8,CD,,
14,9N851000000000011,生活機能問診9,CD,,
14,9N856000000000011,生活機能問診10,CD,,
14,9N861000000000011,生活機能問診11,CD,,
14,9N866000000000001,生活機能問診12,PQ,kg/m²,
14,9N871000000000011,生活機能問診13,CD,,
14,9N876000000000011,生活機能問診14,CD,,
14,9N881000000000011,生活機能問診15,CD,,
14,9N886000000000011,生活機能問診16,CD,,
14,9N891000000000011,生活機能問診17,CD,,
14,9N896000000000011,生活機能問診18,CD,,
14,9N901000000000011,生活機能問診19,CD,,
14,9N906000000000011,生活機能問診20,CD,,
14,9N911000000000011,生活機能問診21,CD,,
14,9N916000000000011,生活機能問診22,CD,,
14,9N921000000000011,生活機能問診23,CD,,
14,9N926000000000011,生活機能問診24,CD,,
14,9N931000000000011,生活機能問診25,CD,,
14,9N940000000000011,週1回以上運動(後期),CD,,
14,9N943000000000011,喫煙(後期),CD,,
15,9N501000000000011,メタボリックシンドローム判定,CD,,1
16,9N506000000000011,保健指導レベル,CD,,1
16,9N808000000000011,特定保健指導の受診歴,CD,,
